courseId,courseCode,courseNumber,courseTitle,description
32,FINA,410,"Portfolio Management","This course focuses on modern investment theory and its application to portfolio management for individuals and institutions, such as mutual funds, hedge funds, pension plans and endowments. Topics include: a) construction of optimal portfolios, b) theory and tests of the classic capital asset pricing models, c) arbitrage pricing theory and multifactor models, d) criteria for evaluation of investment performance, and e) some of the latest strategies in active and passive portfolio management. In addition to the textbook, students read journal articles, discuss cases and learn investment software in the John Dobson – Formula Growth Investment Room."
33,FINA,411,"Advanced Topics in Derivative Markets","This course focuses on advanced topics in the area of derivatives. Topics covered include the valuation of derivatives using numerical procedures and martingales, modelling the term structure of interest rates, valuation of interest rate swaps, interest rate options, caps, floors, swaptions and exotic options, and application of derivatives in risk management such as value at risk models, estimation of volatility and credit risk derivatives."
34,FINA,413,"Mergers and Acquisitions","This course examines the financial aspects of mergers and acquisitions. Basic financial theory and empirical evidence related to corporate control activity is discussed. Some of the topics covered include target identification and valuation, bidding strategies, defensive strategies, financing strategies and growth by acquisition strategies. In addition, going private transactions such as leverage buyouts and management buyouts are discussed."
35,FINA,415,"Behavioral Finance","This course examines how the behaviour of managers, boards of directors, or financial analysts deviates from models of rational behaviour in some situations, and how these deviations affect shareholder wealth. The course explores how behavioural characteristics like mental accounting, overconfidence, herding, framing and loss aversion cause the assumptions of rational economic behaviour to break down at both the individual and systemic levels."
36,FINA,416,"Trading in Financial Securities","This course focuses on developing practical skills in trading financial securities. Topics covered include general trading practices, fundamental and technical analysis, term structure of interest rates, arbitrage opportunities, and trading strategies using options, futures and options on futures contracts. Speakers from the finance industry are also invited to share their experiences with the students."
37,FINA,465,"International Financial Management","This course is designed for students to acquire and demonstrate knowledge of the fundamental principles and issues in international financial management. It covers such topics as foreign exchange markets, exchange rate behaviour, structure and meaning of the international balance of payments, the functioning of fixed and floating exchange rate systems, short- and long-term investment and borrowing decisions, euro-currency markets, foreign exchange risk management, and capital budgeting decisions for overseas investment. In sum, the topics are covered from the perspective of an individual who wishes to know how the international financial environment will affect the firm."
38,FINA,471,"Management of Financial Institutions","This course provides students with an integrating framework for examining various types of financial institutions and the means of managing their operations. Topics include uniqueness of financial institutions; application of portfolio and corporate finance theories to the management of assets, liabilities, capital structure and off‑balance sheet operations; interest rate and liquidity risk exposure; loan portfolio management, loan pricing and credit rationing; capital adequacy and regulatory environment. The strategic repercussions for such institutions, given the rapidly changing financial and regulatory environments, are also reviewed through the analysis of cases illustrating current issues."
39,FINA,481,"International Banking: Operations, Policy and Strategy","This course provides students with an integrating framework to understand the risks, challenges and opportunities that banks face in their global operations. The course covers both commercial and investment banking activities in mature as well as emerging markets. The course begins with an examination of opportunities that foreign markets offer as well as difficulties that banks face when dealing with unfamiliar economic and political environments abroad. This is followed by a discussion of banking operations in international and foreign markets. Topics for this discussion may include microfinance, international loans, project financing and an assessment of political or sovereign risks. The impact of foreign operations on mitigation or enhancement of various risks associated with home country operations is examined. The course also examines the importance of global regulation as well as governance and ethical issues associated with international banking."
40,FINA,482,"Applied Investments: Business Analysis and Valuation","This course focuses on evaluating stocks using modern valuation methods. The main topics include understanding the different investment styles, reading and interpreting financial statements from an investor’s perspective, industry analysis and stock analysis. Pedagogical methods include lectures, discussion of books, presentations by industry experts, use of the Formula Growth Investment Room and evaluation of potential companies for investment purposes."
41,FINA,695,"Applied Linear Statistical Models","The course focuses on systematic treatments of linear statistical models for regression, analysis of variance and experimental design with special emphasis on applications in business and economics. Topics include regression analysis: inference, model building, diagnostics, remedial measures and validation; single-factor and two-factor ANOVA models, and analysis of covariance. Other statistical tools for specialized applications discussed may include logistic regression, path analysis and time series regression. Case studies are employed to illustrate tools for fitting, checking, validating and interpreting linear models."
42,MSCA,602,"Research Methodology","This seminar provides a basic understanding of the research process and a knowledge of the methods used in the design and execution of scientific research relevant to social sciences, and specifically the business context. The seminar helps students to develop skills needed to assess the feasibility and potential contribution of proposed studies, and to critically evaluate research reported by others. The application of relevant research methods are reviewed through discussions of exemplary articles published in leading journals. Cornerstone topics in this seminar include: theory construction, measurement, overview of data collection methods, reliability, as well as internal and external validity issues."
43,MSCA,611,"Seminar in Options and Futures","Research proposal presentation"
44,MSCA,625,"Corporate Governance and Executive Compensation","Research paper and presentation"
45,MSCA,625,"Financial Market Microstructure","Research paper and presentation"
46,MSCA,632,"Measuring & Reporting Financial Performance","The focus of this course is on the use of financial statements to assess a company’s performance and the creation of firm value. The objective is to understand the relation between a company’s strategic decisions, business activities and its financial statements. It also examines how boards of directors and investors can gauge the effectiveness of managerial stewardship in the creation of shareholder value. The course is taught using the case method."
47,EMBA,610,"Managing Talent","The issues related to the management of people within organizations are the focus of the course. The course covers the broad topics of human behaviour and motivation as well as the processes that influence these in organizational contexts. Topics include human resource planning, recruiting, selection, training and development, performance management, compensation and legal frameworks for non-union and union environments. The course uses case studies, in-class exercises and exams. Students develop an understanding of the strategic partnership between the human resource function and managers allowing the company to capitalize fully on the potential of people as a source of competitive advantage."
48,EMBA,611,"Marketing Management","The important role of marketing is studied and the skills developed to lead this function in an organization or to interact effectively with it. Attention is given to such topics as marketing planning, strategy formulation and control, customer focus, customer value creation, positioning, branding, pricing, communications and distribution. Deploying lectures, case discussions and application-oriented readings, the requisite mindset is nurtured to facilitate marketing excellence in today’s multi-faceted and dynamic external environment."
49,EMBA,612,"Information Technology & Analytics","Projects & case studies"
50,EMBA,621,"Financial Decisions Under Uncertainty","Students apply recent advances in corporate finance theory to evaluate complex decisions that may have a profound effect on the future of a firm. Through the use of cases and projects, students evaluate and recommend different decisions within the constraints imposed by the ownership and governance structure of the firm. Examples include making choices on raising debt or equity, using capital for investment or to reward shareholders and whether to go public or remain private."
51,EMBA,630,"Management Control Systems","The performance of an organization ultimately rests on the effectiveness of its management control systems, which ensure a successful implementation of an organization’s strategy and risks assessment. Accordingly, this course provides a comprehensive review of foundational and current research in management control, offers an overview of the various theories used to investigate research questions focusing on management control and risk management, and presents and discusses the key methodologies adopted by researchers in the area. By the end of the seminar, participants have a comprehensive understanding of the multi-dimensional nature of research in the areas of management control and risk management."
52,EMBA,631,"Creativity & Innovation","Students are introduced to the theoretical concepts of creativity and innovation with the goal of implementing novel ideas in organizations. The purpose is to develop students own creative abilities to solve business challenges in a more effective way. Based on lectures, case studies and experiential exercises, the course also proposes techniques needed to foster innovative processes in others."
53,EMBA,632,"Applied Field Project I","This capstone integrative course provides students with the opportunity to tackle a major business problem or issue of their choice, thereby allowing them to apply the knowledge and competencies acquired in the program. In teams, students develop a business project proposal focusing on a problem or issue faced by the organization they have chosen. Students are then expected to gather data and develop innovative and practical responses to the complex, cross-disciplinary issues faced by their client organization. Student teams are required to present a comprehensive set of recommendations to a panel comprised of faculty members, EMBA peers and representatives of the client organization. The key deliverable of this course is the actual set of recommendations and implementation plan designed to address the selected problem or issue."
54,EMBA,633,"Starting a New Venture","The goal of this integrative course is to engage students in the theory and practice of entrepreneurship and innovation in businesses. The course is built around a group project whose objective is to create a comprehensive innovative business plan for a novel stand-alone business, or a new line of business within an existing organization. This project provides students with an opportunity to identify a market opportunity. Students assess its business potential and viability, structure and financing options as well as exit strategies. Groups present their business plans to a board of potential investors."
55,EMBA,635,Leadership,"Leadership is the process of influencing and supporting others in the accomplishment of a common task. In addition to providing a critical review of key concepts, models, and theories of leadership, the course allows students to develop and apply their leadership abilities in organizational settings, especially in the context of change. Students are engaged in practical exercises, case studies, simulations and role-playing activities. Elements of the leadership development module are integrated and leveraged within the course in order to improve students ability to lead with purpose, inspire others and enable change."
56,EMBA,640,"Applied Field Project II","This capstone integrative course provides students with the opportunity to tackle a major business problem or issue of their choice, thereby allowing them to apply the knowledge and competencies acquired in the program. In teams, students develop a business project proposal focusing on a problem or issue faced by the organization they have chosen. Students are then expected to gather data and develop innovative and practical responses to the complex, cross-disciplinary issues faced by their client organization. Student teams are required to present a comprehensive set of recommendations to a panel comprised of faculty members, EMBA peers and representatives of the client organization. The key deliverable of this course is the actual set of recommendations and implementation plan designed to address the selected problem or issue."
57,EMBA,645,"Management Consulting Project",
58,EMBA,690,"Strategic Management","Case studies"
59,GIIM,637,"Socially Responsible & Sustainable Investment","Case studies"
60,GIIM,655,"Financial Reporting for Responsible Decision Making","This course provides an overview of the corporate external financial reporting system. It examines the role played by management, creditors, investors and auditors. The legal environment for enforcing accounting standards is also studied. As financial reporting helps various decision-makers allocate resources to the most profitable and socially responsible ventures, annual reports’ comparability is analyzed under existing International and U.S. reporting standards. The pedagogical approach used in this course is based on lectures, case analyses and the discussion of current professional issues, such as triple bottom line accounting and the detection of accounting fraud."
61,MBA,642,"Marketing Management","This course focuses on the strategic role of marketing for firms by cultivating marketing management perspectives and skills. Attention is directed toward demonstrating how a manager can use information in micro and macro environments to develop marketing strategies for consumer value creation that integrate product, pricing, promotion, and distribution in order to obtain and maintain a sustainable competitive advantage. Both online and offline aspects of marketing strategies are incorporated to reflect the current environment. Through the use of lectures, case discussions and application-oriented readings, the requisite mindset is nurtured to facilitate marketing excellence in todays multi-faceted and dynamic business environment."
62,MBA,644,"Economics for Organizational Decision Making","This course applies the principles and methodologies of economics to the analysis of the global economy and its impact on the domestic business landscape. Students learn how domestic and foreign fiscal and monetary policies influence the performance of national economies through the study of macroeconomic factors such as exchange rates, interest rates, inflation and trade barriers. By the end of the course, students have developed a framework that allows them to identify and assess the systemic risks and opportunities facing any organization. Pedagogical methods may include lectures, cases and/or projects."
63,MBA,645,"Strategic Managerial Accounting & Control","This course focuses on the analytical techniques deployed to assist management in the design, implementation, and monitoring of the organization’s strategy. It also covers techniques, which support the ensuing corrective decision-making. Topics covered include planning, capital budgeting, master budget, break-even point, differential analysis, product costing, etc. For management control: decentralization systems, transfer pricing, flexible budgets, standard costs and variance analysis, etc. The course uses the case method in both for-profit and not-for-profit organizations."
64,MBA,649,"Crafting & Implementing Successful Strategies","The important issues involved in developing strategy in various business sectors are the focus of the course. Students learn to formulate strategies that clearly state the successful and sustainable path for companies. The course also looks at winning strategies defining how companies can compete against their rivals and cooperate with partners in specific business sectors. Students study strategy implementation and examine how functional strategies can be key instruments for business success. The course also looks at the relationship between strategy, culture and structure of the organization. Pedagogical methods focus primarily on cases and projects."
65,MBA,650,"Entrepreneurship: Launching Your Business","This final year course offers students the opportunity to learn how to capitalize on their domain‑specific knowledge and recognize opportunities for self-employment or new venture creation. The course presumes that students have already developed an interest in entrepreneurial careers within their respective fields of study. The first phase of the course reviews fundamental concepts and issues in entrepreneurship and related business fields. The second phase introduces students to the elements of business planning in the context of entrepreneurial projects, followed by the third phase where students formulate their own business plans."
66,MANA,300,"Negotiation & Conflict Resolution","This course examines the causes and consequences of disputes and provides alternative strategies for negotiating and resolving conflicts. It utilizes lectures, videos, cases, interactive exercises, empirical research and videotaping to convey concepts and enhance ones ability to effectively negotiate and resolve disputes."
67,MANA,343,"Management Research for Decision Making","This seminar focuses on the means by which social and organizational data can be gathered, analysed, and interpreted. Needs of the firm for efficient, timely, and unobtrusive research are given special attention. Topic coverage includes applications of the scientific method, research design, field research techniques, data analysis, research utilization, and use of existing information sources. Student projects parallel the classroom activities by designing and conducting business research studies of limited scale."
68,MANA,420,"Leadership & Motivation","This course is designed to familiarize students with current research and theory on motivation and leadership, and their synergy and application in a work context. Implications for the design of reward systems and leader development will be addressed. Class activities will include student presentations, small group discussions, exercises, cases, and simulations."
69,MANA,447,"Introduction to Management Consulting","This course focuses on the management consulting profession and process. It offers an examination of the different phases of the consulting process and a reflection on the role of internal consultants and the choice of management consulting as a career. It focuses on the understanding and development of core consulting skills which are essential for any type of consulting engagement, whether one works as an external or internal consultant, and whether the client is a large, medium, or entrepreneurial company, public or non-profit sector organization. A major component of the course is a real-world consulting project that students conduct with a client firm."
70,MANA,481,"Seminar in Consulting","Team assignment with client firm"
71,MSCA,654,"Marketing Management II","This course focuses on the management of marketing in organizations. Target market selection and each component of the organization’s offer bundle are scrutinized. The course is application-oriented. Additionally, cases are used in order to reinforce learning and to help each student cultivate excellent problem-solving and decision-making skills. Other areas in which marketing can be applied are introduced."
72,MARK,301,"Marketing of Services","The whole spectrum is covered, including: The active application of theory, A high degree of realism, Facilitated reflection, The identification of skills, Connection to life after graduation, Case studies, and Real-world project/assignments"
73,MARK,451,"Marketing Communications","This course introduces students to the field of marketing communications. The initial part of the course examines the role that communications play in marketing strategy. Then, the specific elements involved in developing and executing an effective promotional campaign such as message strategy, creative execution, media planning and budgeting are examined. Next, the course covers ways to support the promotional campaign through various communication tools, such as sales promotion, Internet marketing, personal selling, publicity and direct marketing. The course ends with a discussion of some of the key legal, ethical and social aspects of marketing communications."
74,MARK,453,"Personal Selling","Real world project, sales presentations, role playing, social style simulation,  reflective writing "
75,MARK,454,"The Marketing of Food","Real World Project managed as Capstone projects involving real client organizations in agri-food; 5 to 9 guest speakers from industry, each discussing real and recent projects in agri-food marketing; 1 to 2 case studies each term; industry-focused weekly readings."
76,MARK,458,"Environment of World Business","This is a foundation course in international business; the objective is to present information which exposes the student to cultural, social, political, economic, legal, and financial environments in which Canadian business executives manage their operations abroad. All students are encouraged to develop their own philosophy towards international business activities by developing research and analytical skills in analyzing current and long-term problems perceived in different economic systems and environments. Specific topics include empirical dimensions of world economy, economic development, international trade and investment patterns, regional economic co-operation, area studies, Canadian nationalism, and foreign investment in Canada."
77,MARK,462,"International Marketing Management","(1) Project directed to a selected part of the world - developing an international marketing plan for a real company; (2) Presentation of international market plan; (3) Analysis of written business cases; (4) Guest speakers that share real-world business experiences and career advice."
78,MARK,465,"Business to Business Marketing","The whole spectrum is covered, including: The active application of theory, A high degree of realism, Facilitated reflection, The identification of skills, Connection to life after graduation, Case studies, and Real-world project/assignments"
79,MARK,485,"Product Innovation and Strategy","Real world project, workshops, case studies, product pitches, reflective writing"
80,MARK,486,"Cross-Cultural Communications","EL is obtained through: Three group cases (students analyze actual real world issues and apply cultural models that best fit problems, making strategic recommendations in their oral presentations); Three role play (students identify multi-cultural viewpoints, strategic negotiations, and arrive at a consensus); Two social simulations (analysis of data, make strategic recommendations, oral presentation and devise a marketing plan for implementation of recommendations); Two case analyses (students analyze the real marketing context and make best-fit decisions based on their reasoning on theoretical models)."
81,MARK,492,"Strategic Marketing Planning","Capstone course, Computer-based marketing strategy simulation cases"
82,MARK,495,"Statistical Models for Data Analysis","Analyses of real-life data using statistical software packages"
83,BSTA,450,"Statistical Software for Data Management & Analysis","Computer labs, lab work"
84,BSTA,445,"Data Mining Techniques","Practical experience"
85,BSTA,478,"Enterprise Resources Planning and Technology Integration","Integration of technological and business resources for analysis of practical business problems and processes via the use of enterprise resource planning applications."
86,BTM,430,"Business Information Systems’ Risks, Security & Audit","Applied learning through intensive case, hands-on experience-on IT auditing & security management project"
87,BTM,440,"Project Management","Use of project management software and business cases."
88,BTM,480,"Information Systems Analysis","Analysis of real business processes for the development of requirements for information systems applications."
89,BTM,481,"Information Technology strategy, management and sourcing","Development of the request for proposal for information systems for real life business applications."
90,BTM,496,"Supply Chain Simulation","Use of simulation software to run realistic supply chain scenarios"
91,SCOM,492,"Supply Chain Project","Project carried out in a real-life setting"
92,SCOM,498,"COMM ACCO","Co-op placement. Please visit the Co-op Institute for more details."
93,ACCO,,"COMM FINA","Co-op placement. Please visit the Co-op Institute for more details."
94,FINA,,"Small Business Consulting Bureau",Business
95,MBA,660,"MBA Surgical Innovation II","Joint endeavour of the Department of Surgery at McGill, ETS & JMSB"
96,MBA,662,"COMM MARK","Co-op placement. Please visit the Co-op Institute for more details."
97,MARK,,"COMM BTM","Co-op placement. Please visit the Co-op Institute for more details."
98,ACCO,,"Desjardins Centre for Innovation in Business Finance","The Desjardins Centre for Innovation in Business Finance is funded by a generous endowment from the Desjardins Group. The Centre’s research will focus on innovation in business finance and on advances in the financial services sector, with specific reference to the effects on small to medium-sized business customers. "
99,BTM,,"Current Issues in Marketing","Group project involves all of the elements of experiential learning in that it involves identifying a research question, positing a set of hypotheses, developing the data collection procedure/instruments, analyzing the data, and arrive at practical and academic implications.  They must first present their top three ideas to the class (in week 7), and then in week 13, they present their final project (which is typically the idea that was selected as the winning one from the earlier three that they had presented).  Hence, it is difficult to imagine anything more experiential!  They are learning by doing."
100,MBA,662,"Laboratory for Sensory Research","Scientific measurement, scientific experimentation The Laboratory for Sensory Research is located at the John Molson School of Business and funded by the Canadian Foundation for Innovation (CFI)."
101,SCOM,498,"COMM ACCO","Co-op placement. Please visit the Co-op Institute for more details."
102,ACCO,,"COMM FINA","Co-op placement. Please visit the Co-op Institute for more details."
103,MARK,493,"Global Experience","Experience doing business abroad"
104,EMBA,625,"International Study Trip","Field school"
105,EMBA,676,"COMM HRMA","Co-op placement. Please visit the Co-op Institute for more details."
106,MBA,662,"COMM MARK","Co-op placement. Please visit the Co-op Institute for more details."
107,MARK,,"COMM BTM","Co-op placement. Please visit the Co-op Institute for more details."
108,HRMA,,"COMM SCOM","Co-op placement. Please visit the Co-op Institute for more details."
109,SCOM,498,"John Molson Accounting Society (JMAS)","Bridge the gap between the OCPAQ, accounting professionals, faculty members & their peers"
110,ACCO,,"Finance & - Investment Students’ Association (FISA)","Bridge the growing gap that exists between what students are taught in the classroom & what they need to know before entering the workforce"
111,SCOM,,"International Case Competition – Executive Assistant, Special",Competition
112,MBA,656,"Van Berkon Case Competition - Executive Assistant",Competition
113,MBA,658,"Strategies in Action (Case competition)",Competition
114,MBA,659,"John Molson International MBA Case Competition (MBA-ICC)","Host long-running & prestigious international MBA case competition"
115,MBA,659,"John Molson MBA Entrepreneurship Club (JMEC)","Student associations & clubs"
116,MBA,659,"John Molson MBA Society","Student associations & clubs"
117,MBA,662,"John Molson Marketing Association (JMMA)","Merging both the academic & professional worlds of marketing"
118,MBA,662,"Releve communication","Case competition"
119,MBA,662,"Happening Marketing","Case competition"
120,MBA,,"Accounting in Society / Accounting Theory","Research-based Group Project, Written Report, and Recorded Presentation"
121,ACCO,400,"FINANCIAL REPORTING IN PRACTICE","Case Analysis"
122,ACCO,650,"FINANCIAL REPORTING: COMPREHENSIVE APPLICATIONS","Case Analysis"
123,ACCO,651,"BUSINESS ADVISORY SERVICES","Case Analysis & Fictitious BOD Group presentation"
124,ACCO,652,"INFORMATION SYSTEMS AND INTERNAL CONTROL ","Case Analysis"
125,ACCO,653,"ASSURANCE & PROFESSIONAL PRACTICE ","Case Analysis"
126,ACCO,654,"TAXATION & DECISION-MAKING","Case Analysis"
127,ACCO,655,"PERFORMANCE MANAGEMENT ","Case Analysis & Fictitious BOD Group presentation"
128,ACCO,656,"FINANCIAL STRATEGIES & DECISIONS","Case Analysis"
129,ACCO,657,"CAPSTONE I SEMINAR","Group Case Analysis, Written Report & Fictitious BOD Group presentation"
130,ACCO,658,"CAPSTONE II EXAMINATION PREPARATION","Case Analysis"
131,ACCO,659,"Managing People in Organizations",
132,MBA,647,"Brand Management",
133,MBA,695,"Strategic Management of Information Technology"
134,BTM,633,"Entrepreneurship through Acquisition"
135,MANA,684,"Customer Behaviour"
136,MARK,671,"Business Communication","Project proposal to improve the communications strategy of an existing business"
137,COMM,205,"Case Competition in Marketing (seminar)","This is not a case competition course per se. Instead, under the auspices of l'Association des Agences de Communication Créative (A2C) very year two Quebec inter-university competitions are organized and conducted. The Relève Communication was initiated in 1992 and the Relève Marketing in 1999. JMSB has entered teams of six students in both of these competitions since their inception. For both participating university teams are given a day-long briefing in January by a company, not-for-profit organization or government agency and one or more of its communications agencies. The brief concludes with a mandate for which teams must create a complete communications or marketing plan for the client with a due date in late April. Their recommended plans are presented to the clients in their boardrooms or in their agencys pitch rooms. The judging panels include senior executives from the client (often its CEO), from the client's communications agencies and from A2C members. Throughout the academic term during which the competitions occur, students have the opportunity to apply the theories that they have learned so far in their BComm program to situations which are as close to "real life" as possible in an academic setting."
141,MARK,457,Retailing,"Project to create an innovative retail product service that also serves a social cause"
142,MARK,463,"Brand Management (seminar)","Case studies used to reinforce and contextualize course content"
143,MBA,662,JMMA Fest,"Recruitment for Embassy Networking Opportunity. The students are engaged intellectually by networking with JMMA's executive team while posing questions about recruitment opportunities at JMMA."
144,MBA,662,CMS Industry Spotlight,"Panel event with creative and innovative agencies ready to answer questions from students. The learner is curious to learn more about creative and innovative industries. They are able to talk with different representatives from companies being exposed to a real-world context."
145,MBA,662,After Marketing,"A conference that gives insights into the different types of career paths that students can pursue in marketing. This event groups industry professionals from different industries to talk with JMSB students. The conference includes workshops, a panel, as well as a networking cocktail. Students are able to enhance their networking skills by integrating different networking tactics learned in class. The learner is able to pose specific questions after investigating their career of choice. Through workshops they are able to put in practice what they have researched beforehand in a real-world context."
